"country_code","actor1","avg_goldstein","actor2","ratio"
"ABW",3,-0.666666667,14,"0.214285714285714"
"AFG",1193,0.010645432,1147,"1.04010462074978"
"AFR",211,1.020379147,214,"0.985981308411215"
"AGO",4,-1.5,0,"0"
"AIA",1,0,0,"0"
"ALB",87,1.065517241,57,"1.52631578947368"
"ARE",57,2.90877193,36,"1.58333333333333"
"ARG",19,-1.463157895,18,"1.05555555555556"
"ARM",1843,1.794574064,1694,"1.08795749704841"
"ASA",18,2.911111111,5,"3.6"
"ATG",9,-1.688888889,2,"4.5"
"AUS",166,-0.935542169,117,"1.41880341880342"
"AUT",71,1.276056338,49,"1.44897959183673"
"AZE",1550,2.218580645,1355,"1.14391143911439"
"BDI",16,6.8625,13,"1.23076923076923"
"BEL",245,2.387346939,225,"1.08888888888889"
"BEN",3,-2.866666667,1,"3"
"BFA",6,0.25,5,"1.2"
"BGD",42,0.169047619,27,"1.55555555555556"
"BGR",234,1.834615385,166,"1.40963855421687"
"BHR",65,-0.255384615,31,"2.09677419354839"
"BHS",19,1.636842105,19,"1"
"BLR",186,1.214516129,171,"1.08771929824561"
"BLZ",6,3.433333333,5,"1.2"
"BMU",13,0.4,6,"2.16666666666667"
"BOL",4,1.75,5,"0.8"
"BRA",66,1.928787879,56,"1.17857142857143"
"BRB",8,-0.5125,6,"1.33333333333333"
"BRN",9,2.833333333,13,"0.692307692307692"
"BWA",4,3.2,1,"4"
"CAF",4,1.325,6,"0.666666666666667"
"CAN",256,0.67734375,160,"1.6"
"CAS",6,2.7,9,"0.666666666666667"
"CHE",430,2.664651163,378,"1.13756613756614"
"CHL",10,-0.52,12,"0.833333333333333"
"CHN",915,1.445136612,716,"1.27793296089385"
"CIV",11,2.618181818,4,"2.75"
"CMR",2,2.8,2,"1"
"COD",47,2.031914894,42,"1.11904761904762"
"COG",26,2.857692308,25,"1.04"
"COL",31,1.448387097,25,"1.24"
"COM",1,4,0,"0"
"CRI",3,5.2,1,"3"
"CUB",34,1.861764706,39,"0.871794871794872"
"CYM",1,7,3,"0.333333333333333"
"CYP",120,0.804166667,123,"0.975609756097561"
"CZE",212,1,171,"1.23976608187134"
"DEU",534,1.74494382,416,"1.28365384615385"
"DJI",4,-1.525,5,"0.8"
"DMA",1,7.4,0,"0"
"DNK",119,1.266386555,105,"1.13333333333333"
"DOM",3,3.733333333,0,"0"
"DZA",38,1.015789474,44,"0.863636363636364"
"EAF",2,1.5,0,"0"
"ECU",8,2.75,7,"1.14285714285714"
"EGY",322,1.617701863,263,"1.22433460076046"
"ERI",5,3.44,2,"2.5"
"ESP",125,0.104,78,"1.6025641025641"
"EST",70,2.565714286,54,"1.2962962962963"
"ETH",80,1.7525,72,"1.11111111111111"
"EUR",1941,2.133539413,1447,"1.34139599170698"
