"Var1","Freq","Avg_Goldstein"
"ABW",3,-0.666666666666667
"AFG",1193,0.0106454316848282
"AFR",211,1.02037914691943
"AGO",4,-1.5
"AIA",1,0
"ALB",87,1.06551724137931
"ARE",57,2.90877192982456
"ARG",19,-1.46315789473684
"ARM",1843,1.79457406402604
"ASA",18,2.91111111111111
"ATG",9,-1.68888888888889
"AUS",166,-0.935542168674699
"AUT",71,1.27605633802817
"AZE",1550,2.21858064516129
"BDI",16,6.8625
"BEL",245,2.38734693877551
"BEN",3,-2.86666666666667
"BFA",6,0.25
"BGD",42,0.169047619047619
"BGR",234,1.83461538461538
"BHR",65,-0.255384615384615
"BHS",19,1.63684210526316
"BLR",186,1.21451612903226
"BLZ",6,3.43333333333333
"BMU",13,0.4
"BOL",4,1.75
"BRA",66,1.92878787878788
"BRB",8,-0.5125
"BRN",9,2.83333333333333
"BWA",4,3.2
"CAF",4,1.325
"CAN",256,0.67734375
"CAS",6,2.7
"CHE",430,2.6646511627907
"CHL",10,-0.52
"CHN",915,1.44513661202186
"CIV",11,2.61818181818182
"CMR",2,2.8
"COD",47,2.03191489361702
"COG",26,2.85769230769231
"COL",31,1.44838709677419
"COM",1,4
"CRI",3,5.2
"CUB",34,1.86176470588235
"CYM",1,7
"CYP",120,0.804166666666667
"CZE",212,1
"DEU",534,1.74494382022472
"DJI",4,-1.525
"DMA",1,7.4
"DNK",119,1.26638655462185
"DOM",3,3.73333333333333
"DZA",38,1.01578947368421
"EAF",2,1.5
"ECU",8,2.75
"EGY",322,1.61770186335404
"ERI",5,3.44
"ESP",125,0.104
"EST",70,2.56571428571429
"ETH",80,1.7525
"EUR",1941,2.13353941267388
"FIN",32,1.53125
"FJI",7,3.12857142857143
"FRA",569,1.03427065026362
"FSM",116,1.19051724137931
"GBR",548,1.38996350364963
"GEO",1792,1.66997767857143
"GHA",6,2.05
"GIN",9,-0.244444444444444
"GNB",3,5.93333333333333
"GRC",539,0.295732838589981
"GRD",52,0.380769230769231
"GTM",19,4.67368421052632
"GUY",15,0.993333333333333
"HND",2,0.95
"HRV",61,2.64262295081967
"HTI",6,-0.0166666666666667
"HUN",81,2.95061728395062
"IDN",47,3.1531914893617
"IND",144,-2.27708333333333
"IRL",136,-0.446323529411765
"IRN",1261,0.859397303727201
"IRQ",338,-0.278698224852071
"ISR",855,-0.529590643274854
"ITA",346,1.61560693641618
"JAM",58,0.481034482758621
"JOR",176,1.44147727272727
"JPN",245,1.68081632653061
"KAZ",204,2.07401960784314
"KEN",201,0.177114427860697
"KGZ",100,1.513
"KHM",20,2.485
"KNA",10,4.58
"KOR",275,0.930545454545455
"KWT",29,1.47931034482759
"LAO",3,4.8
"LBN",239,-0.934309623430962
"LBY",122,-0.15655737704918
"LCA",16,0.73125
"LIE",2,5.5
"LKA",18,0.127777777777778
"LSO",1,8.3
"LTU",124,2.04516129032258
"LUX",2,5.25
"LVA",97,1.35154639175258
"MAR",14,-3.52857142857143
"MCO",35,-0.78
"MDA",62,2.89193548387097
"MDG",1,3
"MDV",89,-3.49325842696629
"MEA",33,3.09090909090909
"MEX",69,1.02608695652174
"MHL",1,0
"MKD",57,1.58421052631579
"MLI",47,0.625531914893617
"MLT",6,-0.866666666666667
"MMR",35,3.38857142857143
"MNG",20,3.74
"MOZ",16,6.18125
"MRT",11,1.05454545454545
"MWI",3,6.1
"MYS",54,0.344444444444444
"NAM",2,3.2
"NER",9,-3.14444444444444
"NGA",115,-0.0339130434782609
"NIC",21,0.776190476190476
"NLD",101,2.16831683168317
"NMR",51,2.86078431372549
"NOR",102,-0.261764705882353
"NPL",12,-2.39166666666667
"NRU",4,4.7
"NZL",43,0.720930232558139
"OMN",1,3.4
"PAK",652,0.0590490797546012
"PAN",21,1.85714285714286
"PER",18,2.51666666666667
"PGS",12,0.75
"PHL",64,0.7296875
"POL",232,2.03836206896552
"PRK",210,1.09380952380952
"PRT",27,1.30740740740741
"PSE",350,0.0991428571428571
"QAT",154,2.69480519480519
"RUS",6015,0.551604322527016
"RWA",63,0.912698412698413
"SAF",3,-0.333333333333333
"SAS",7,-0.414285714285714
"SAU",112,1.26607142857143
"SDN",207,1.05314009661836
"SEA",8,2.5
"SEN",6,-1.26666666666667
"SGP",15,2.07333333333333
"SLE",1,-9.5
"SLV",6,-5.6
"SOM",328,0.633536585365854
"SRB",105,2.02285714285714
"SUR",6,2.46666666666667
"SVK",26,2.11538461538462
"SWE",64,1.5671875
"SWZ",3,2.86666666666667
"SYC",20,2.59
"SYR",623,-1.21781701444623
"TCD",29,-0.00689655172413794
"TGO",3,5.13333333333333
"THA",103,-0.123300970873786
"TJK",203,2.47241379310345
"TKM",127,2.92362204724409
"TON",1,2.8
"TTO",11,-2.11818181818182
"TUN",78,1.36666666666667
"TUR",1282,1.57636505460218
"TUV",23,4.34782608695652
"TZA",26,2.43076923076923
"UGA",67,1.56268656716418
"UKR",657,1.61095890410959
"URY",1,1
"USA",25443,0.49495342530362
"UZB",60,0.848333333333333
"VAT",22,2.14090909090909
"VCT",5,2.44
"VEN",60,0.43
"VNM",45,1.32444444444444
"VUT",21,1.6952380952381
"WSM",2,5.2
"WST",865,2.02890173410405
"YEM",99,-1.13636363636364
"ZAF",50,1.35
"ZMB",17,0.494117647058823
"ZWE",58,-0.420689655172414
