"Var1","Freq"
"ABW",14
"AFG",1147
"AFR",214
"ALB",57
"ARE",36
"ARG",18
"ARM",1694
"ASA",5
"ATG",2
"AUS",117
"AUT",49
"AZE",1355
"BDI",13
"BEL",225
"BEN",1
"BFA",5
"BGD",27
"BGR",166
"BHR",31
"BHS",19
"BLR",171
"BLZ",5
"BMU",6
"BOL",5
"BRA",56
"BRB",6
"BRN",13
"BWA",1
"CAF",6
"CAN",160
"CAS",9
"CHE",378
"CHL",12
"CHN",716
"CIV",4
"CMR",2
"COD",42
"COG",25
"COL",25
"CRI",1
"CUB",39
"CYM",3
"CYP",123
"CZE",171
"DEU",416
"DJI",5
"DNK",105
"DZA",44
"ECU",7
"EGY",263
"ERI",2
"ESP",78
"EST",54
"ETH",72
"EUR",1447
"FIN",28
"FJI",14
"FRA",432
"FSM",80
"GBR",437
"GEO",1427
"GHA",15
"GIN",4
"GNB",3
"GRC",362
"GRD",34
"GTM",23
"GUY",22
"HND",3
"HRV",52
"HTI",4
"HUN",69
"IDN",55
"IND",79
"IRL",54
"IRN",1066
"IRQ",286
"ISR",808
"ITA",282
"JAM",39
"JOR",119
"JPN",236
"KAZ",172
"KEN",151
"KGZ",87
"KHM",30
"KIR",3
"KNA",3
"KOR",211
"KWT",21
"LAO",3
"LBN",260
"LBR",5
"LBY",95
"LCA",15
"LIE",1
"LKA",15
"LTU",114
"LUX",3
"LVA",64
"MAR",4
"MCO",43
"MDA",64
"MDV",109
"MEA",29
"MEX",59
"MHL",2
"MKD",35
"MLI",63
"MLT",7
"MMR",40
"MNG",18
"MOZ",18
"MRT",12
"MUS",3
"MWI",2
"MYS",52
"NAM",2
"NER",7
"NGA",94
"NIC",12
"NLD",85
"NMR",35
"NOR",82
"NPL",6
"NZL",25
"OMN",9
"PAK",506
"PAN",10
"PER",13
"PGS",8
"PHL",54
"POL",181
"PRK",205
"PRT",21
"PSE",380
"QAT",167
"RUS",4580
"RWA",51
"SAF",3
"SAS",2
"SAU",124
"SDN",148
"SEA",5
"SEN",5
"SGP",12
"SLB",2
"SLE",2
"SLV",1
"SMR",1
"SOM",321
"SRB",100
"SUR",1
"SVK",25
"SWE",94
"SWZ",3
"SYC",24
"SYR",618
"TCD",30
"TGO",1
"THA",86
"TJK",200
"TKM",109
"TTO",8
"TUN",46
"TUR",1104
"TUV",36
"TZA",19
"UGA",44
"UKR",529
"URY",1
"USA",17405
"UZB",54
"VAT",18
"VCT",3
"VEN",59
"VNM",34
"VUT",13
"WAF",1
"WSM",1
"WST",685
"YEM",64
"ZAF",38
"ZMB",9
"ZWE",57
