"actor2Code","actor1Code","predicted","confidence"
"ABW","ABW",36,8
"AGO","AFG",40,8
"BHR","AFR",42,8
"BHS","AGO",30,8
"BRN","AIA",40,8
"BWA","ALB",51,8
"CAF","ARE",51,8
"CAN","ARG",00,8
"CAS","ARM",40,8
"CHE","ASA",40,8
"CHL","ATG",46,8
"CIV","AUS",54,8
"CMR","AUT",54,8
"COD","AZE",42,8
"CRI","BDI",42,8
"CUB","BEL",43,8
"CYM","BEN",40,8
"CYP","BFA",36,8
"CZE","BGD",40,8
"DEU","BGR",46,8
"DJI","BHR",36,8
"DMA","BHS",43,8
"DNK","BLR",46,8
"DOM","BLZ",43,8
"EAF","BMU",40,8
"ECU","BOL",36,8
"EGY","BRA",46,8
"ERI","BRB",42,8
"ESP","BRN",43,8
"EST","BWA",42,8
"ETH","CAF",36,8
"FIN","CAN",36,8
"FJI","CAS",43,8
"FRA","CHE",20,8
"FSM","CHL",20,8
"GBR","CHN",20,8
"GEO","CIV",43,8
"IRL","CMR",40,8
"IRQ","COD",71,8
"ISR","COG",46,8
"ITA","COL",50,8
"JAM","COM",40,8
"JOR","CRI",40,8
"KAZ","CUB",40,8
"KGZ","CYM",50,8
"KHM","CYP",40,8
"KOR","CZE",46,8
"LAO","DEU",40,8
"LBY","DJI",51,8
"LCA","DMA",10,8
"LKA","DNK",12,8
"LSO","DOM",10,8
"LTU","DZA",40,8
"LUX","EAF",40,8
"MAR","ECU",10,8
"MDA","EGY",46,8
"MDG","ERI",46,8
"MDV","ESP",40,8
"MEA","EST",36,8
"MEX","ETH",40,8
"MHL","EUR",40,8
"MKD","FIN",12,8
"MLT","FJI",40,8
"MMR","FRA",50,8
"MOZ","FSM",50,8
"MRT","GBR",42,8
"MWI","GEO",53,8
"NMR","GHA",42,8
"NOR","GIN",40,8
"NPL","GNB",10,8
"NRU","GRC",40,8
"NZL","GRD",40,8
"OMN","GTM",73,8
"PAK","GUY",46,8
"PAN","HND",41,8
"PGS","HRV",50,8
"PHL","HTI",40,8
"POL","HUN",43,8
"PRK","IDN",60,8
"PRT","IND",60,8
"PSE","IRL",36,8
"QAT","IRN",40,8
"RUS","IRQ",43,8
"RWA","ISR",42,8
"SAF","ITA",40,8
"SAS","JAM",50,8
"SDN","JOR",50,8
"SEA","JPN",51,8
"SEN","KAZ",51,8
"SGP","KEN",50,8
"SLE","KGZ",43,8
"SLV","KHM",61,8
"SOM","KNA",42,8
"SRB","KOR",43,8
"SUR","KWT",43,8
"SVK","LAO",42,8
"SWE","LBN",43,8
"SWZ","LBY",43,8
"SYC","LCA",50,8
"TCD","LIE",40,8
"THA","LKA",40,8
"TJK","LSO",42,8
"TKM","LTU",90,8
"TUV","LUX",90,8
"TZA","LVA",40,8
"UGA","MAR",40,8
"UKR","MCO",36,8
"URY","MDA",40,8
"USA","MDG",40,8
"VAT","MDV",43,8
"VCT","MEA",40,8
"VEN","MEX",40,8
"VNM","MHL",40,8
"WSM","MKD",20,8
"WST","MLI",00,8
"YEM","MLT",14,8
"ZAF","MMR",61,8
"ZMB","MNG",26,8
"ZWE","MOZ",30,8
"SLB","MRT",36,8
"WAF","MWI",15,8
