"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
189358180,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGR","BULGARIAN","BGR",NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,2,1,2,3.2626427406199,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
189358181,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGR","BULGARIAN","BGR",NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,2,1,2,3.2626427406199,NA,NA,NA,NA,0,0,0,4,"Sofia, Sofiya-Grad, Bulgaria","BU","BU42",42.6833,23.3167,-838489,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
189358751,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,1,"190","190","19",4,-10,4,1,4,2.06185567010309,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
189358839,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","RESIDENTS",NA,NA,NA,NA,NA,"CVL",NA,NA,0,"020","020","02",1,3,99,11,99,3.54908589355262,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
189359358,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","SCOTLAND","GBR",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,6,1,6,7.76470588235294,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
189359510,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT DELEGATION",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,23,1,15,3.2907161724163,NA,NA,NA,NA,0,0,0,4,"Mtskheta, Georgia (general), Georgia","GG","GG00",41.8451,44.7188,-2328893,4,"Mtskheta, Georgia (general), Georgia","GG","GG00",41.8451,44.7188,-2328893,20130203,""
189359512,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT DELEGATION",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"036","036","03",1,4,38,1,38,3.37350910343803,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
189359526,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT DELEGATION",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,2,1,2,3.281633591541,NA,NA,NA,NA,0,0,0,4,"Sofia, Sofiya-Grad, Bulgaria","BU","BU42",42.6833,23.3167,-838489,4,"Mtskheta, Georgia (general), Georgia","GG","GG00",41.8451,44.7188,-2328893,20130203,""
189359527,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT DELEGATION",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"036","036","03",1,4,7,1,7,3.39860395503464,NA,NA,NA,NA,0,0,0,4,"Sofia, Sofiya-Grad, Bulgaria","BU","BU42",42.6833,23.3167,-838489,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
189359556,20120401,201204,2012,2012.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","PRIME MINISTER",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"040","040","04",1,1,21,1,21,3.3494441472044,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
