"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
"11783",253472894,20130401,201304,2013,2013.2493,"GOV","MINISTRY ",NA,NA,NA,NA,NA,"GOV",NA,NA," ARM","ARMENIA","ARM",NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,2,1,2,1.61290322580645,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,20130401,"http://armenpress.am/eng/news/713439/"
"12334",253473445,20130401,201304,2013,2013.2493,"GOV","FOREIGN MINIST ",NA,NA,NA,NA,NA,"GOV",NA,NA," MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"012","012","01",1,-0.4,2,1,2,1.09489051094891,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130401,"http://en.trend.az/regions/scaucasus/georgia/2134307.html"
"12335",253473446,20130401,201304,2013,2013.2493,"GOV","FOREIGN MINIST ",NA,NA,NA,NA,NA,"GOV",NA,NA," MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"012","012","01",1,-0.4,8,1,8,1.09489051094891,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Sochi, Krasnodarskiy Kray, Russia","RS","RS38",43.5992,39.7257,-3006514,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130401,"http://en.trend.az/regions/scaucasus/georgia/2134307.html"
"12600",253473711,20130401,201304,2013,2013.2493,"GOV","MINISTRY ",NA,NA,NA,NA,NA,"GOV",NA,NA," USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,4,1,4,1.61290322580645,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,20130401,"http://armenpress.am/eng/news/713439/"
"12737",253473848,20130401,201304,2013,2013.2493,"GOV","MINISTRY ",NA,NA,NA,NA,NA,"GOV",NA,NA," USAGOV","UNITED STATES","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"010","010","01",1,0,4,1,4,1.61290322580645,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,4,"Stepantsminda, Georgia (general), Georgia","GG","GG00",42.6567,44.6433,-2327687,20130401,"http://armenpress.am/eng/news/713439/"
"16981",253478092,20130401,201304,2013,2013.2493,"LEG","CHAMBER",NA,NA,NA,NA,NA,"LEG",NA,NA," BUS","ENTREPRENEUR",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"013","013","01",1,0.4,10,1,10,2.08333333333333,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130401,"http://en.trend.az/regions/scaucasus/georgia/2134376.html"
"16984",253478095,20130401,201304,2013,2013.2493,"LEG","CHAMBER",NA,NA,NA,NA,NA,"LEG",NA,NA," BUS","ENTREPRENEUR",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"051","051","05",1,3.4,10,1,10,2.08333333333333,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130401,"http://en.trend.az/regions/scaucasus/georgia/2134376.html"
"17697",253478808,20130401,201304,2013,2013.2493,"MED","TELEVISION",NA,NA,NA,NA,NA,"MED",NA,NA," RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,3.42205323193916,1,"Georgia","GG","GG",42,43.5,NA,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,1,"Georgia","GG","GG",42,43.5,NA,20130401,"http://www.themoscowtimes.com/news/article/udaltsovs-house-arrest-is-prolonged/477821.html"
"20707",253481818,20130401,201304,2013,2013.2493,"PTY","POLITICIAN",NA,NA,NA,NA,NA,NA,NA,NA," REB","REVOLT",NA,NA,NA,NA,NA,"REB",NA,NA,1,"040","040","04",1,1,3,1,3,3.42205323193916,1,"Georgia","GG","GG",42,43.5,NA,1,"Georgia","GG","GG",42,43.5,NA,1,"Georgia","GG","GG",42,43.5,NA,20130401,"http://www.themoscowtimes.com/news/article/udaltsovs-house-arrest-is-prolonged/477821.html"
"20881",253481992,20130401,201304,2013,2013.2493,"REB","REVOLT",NA,NA,NA,NA,NA,"REB",NA,NA," PTY","POLITICIAN",NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,6,1,6,3.42205323193916,1,"Georgia","GG","GG",42,43.5,NA,1,"Georgia","GG","GG",42,43.5,NA,1,"Georgia","GG","GG",42,43.5,NA,20130401,"http://www.themoscowtimes.com/news/article/udaltsovs-house-arrest-is-prolonged/477821.html"
