"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
"505",229737498,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","BANK",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"036","036","03",1,4,10,1,10,1.31578947368421,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"1371",229738364,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","SECURITY CHECK",NA,NA,NA,NA,NA,"COP",NA,NA,1,"036","036","03",1,4,10,1,10,1.71428571428571,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"3047",229740040,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","UNITED KINGDOM","GBR",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,4,1,4,2.88808664259928,NA,NA,NA,NA,0,0,0,4,"London, London, City of, United Kingdom","UK","UKH9",51.5,-0.116667,-2601889,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"3078",229740071,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","UNITED KINGDOM","GBR",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,2,1,2,2.88808664259928,NA,NA,NA,NA,0,0,0,4,"London, London, City of, United Kingdom","UK","UKH9",51.5,-0.116667,-2601889,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"3603",229740596,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","STATE MINIST",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"046","046","04",1,7,8,1,8,3.27868852459016,NA,NA,NA,NA,0,0,0,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,NA,20130203,""
"4204",229741197,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGOUNO","THE UN",NA,"UNO",NA,NA,NA,"IGO",NA,NA,0,"043","043","04",1,2.8,7,1,7,3.27868852459016,NA,NA,NA,NA,0,0,0,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
"6824",229743817,20130201,201302,2013,2013.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUSGOV","RUSSIAN","RUS",NA,NA,NA,NA,"GOV",NA,NA,1,"042","042","04",1,1.9,4,1,4,1.31147540983607,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"12226",229749219,20130201,201302,2013,2013.0849,"ARMGOV","ARMENIA","ARM",NA,NA,NA,NA,"GOV",NA,NA,"ARM","ARMENIA","ARM",NA,NA,NA,NA,NA,NA,NA,1,"013","013","01",1,0.4,2,1,2,2.21774193548387,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,20130203,""
"15148",229752141,20130201,201302,2013,2013.0849,"BUS","BANK",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,10,1,10,1.31578947368421,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"19413",229756406,20130201,201302,2013,2013.0849,"CHE","GENEVA","CHE",NA,NA,NA,NA,NA,NA,NA,"IGOUNO","THE UN",NA,"UNO",NA,NA,NA,"IGO",NA,NA,0,"042","042","04",1,1.9,1,1,1,3.27868852459016,4,"Geneva, Genè, Switzerland","SZ","SZ07",46.1956,6.14811,-2552151,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
"21855",229758848,20130201,201302,2013,2013.0849,"COP","SECURITY CHECK",NA,NA,NA,NA,NA,"COP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,10,1,10,1.71428571428571,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"26246",229763239,20130201,201302,2013,2013.0849,"CVL","VOTER",NA,NA,NA,NA,NA,"CVL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"060","060","06",2,6,6,1,6,2.31923601637108,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
