"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
212050843,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG","AFGHAN","AFG",NA,NA,NA,NA,NA,NA,NA,1,"130","130","13",3,-4.4,1,1,1,5.18934081346424,NA,NA,NA,NA,0,0,0,1,"Russia","RS","RS",60,100,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212051490,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,0,"040","040","04",1,1,10,1,10,6.37411915438821,NA,NA,NA,NA,0,0,0,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,20130203,""
212051522,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,0,"040","040","04",1,1,20,2,20,6.76598861521504,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212055898,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,1,1,1,11.1111111111111,NA,NA,NA,NA,0,0,0,4,"Haru, Kagoshima, Japan","JA","JA18",30.2333,130.583,-228540,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212057085,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIL","LIEUTENANT GENERAL",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"043","043","04",1,2.8,3,1,3,5.11874217451097,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212057091,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIL","LIEUTENANT GENERAL",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"043","043","04",1,2.8,1,1,1,5.63106796116505,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212060134,20120801,201208,2012,2012.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,2,1,2,3.57142857142857,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212067155,20120801,201208,2012,2012.5781,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"010","010","01",1,0,10,1,10,6.37411915438821,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,0,NA,NA,NA,0,0,0,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,20130203,""
212067270,20120801,201208,2012,2012.5781,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"010","010","01",1,0,20,2,20,6.76598861521504,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212067816,20120801,201208,2012,2012.5781,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,10,1,10,6.37411915438821,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,0,NA,NA,NA,0,0,0,4,"Tkibuli, Georgia (general), Georgia","GG","GG00",42.3512,42.9987,-2330211,20130203,""
212067861,20120801,201208,2012,2012.5781,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,20,2,20,6.76598861521504,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212073903,20120801,201208,2012,2012.5781,"CHR","CHRISTIAN",NA,NA,NA,"CHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"030","030","03",1,4,10,1,10,11.1607142857143,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212083655,20120801,201208,2012,2012.5781,"EDU","SCHOOL",NA,NA,NA,NA,NA,"EDU",NA,NA,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,1,"173","173","17",4,-5,10,1,10,2.14285714285714,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212086446,20120801,201208,2012,2012.5781,"EUR","EUROPE","EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,10,1,10,7.31707317073171,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212087337,20120801,201208,2012,2012.5781,"FRA","FRANCE","FRA",NA,NA,NA,NA,NA,NA,NA,"IGOWSTNAT","NATO","WST","NAT",NA,NA,NA,"IGO",NA,NA,0,"070","070","07",2,7,1,1,1,5.18934081346424,5,"Kapisa, Kapisa, Afghanistan","AF","AF14",35,69.5833,-3379145,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212091660,20120801,201208,2012,2012.5781,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"100","100","10",3,-5,10,1,10,2.52100840336134,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212091673,20120801,201208,2012,2012.5781,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"100","100","10",3,-5,10,1,10,0.980392156862745,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212095338,20120801,201208,2012,2012.5781,"GOV","AUTHORITIES",NA,NA,NA,NA,NA,"GOV",NA,NA,"SLE","SIERRA LEONE","SLE",NA,NA,NA,NA,NA,NA,NA,1,"084","084","08",2,7,10,1,10,5.88235294117647,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212098412,20120801,201208,2012,2012.5781,"HRI","RIGHTS GROUP",NA,NA,NA,NA,NA,"HRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"020","020","02",1,3,10,1,10,11.1607142857143,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212099646,20120801,201208,2012,2012.5781,"IGOWSTNAT","NATO","WST","NAT",NA,NA,NA,"IGO",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,1,1,1,5.18934081346424,5,"Kapisa, Kapisa, Afghanistan","AF","AF14",35,69.5833,-3379145,1,"Russia","RS","RS",60,100,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212105326,20120801,201208,2012,2012.5781,"JPN","JAPANESE","JPN",NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,4,1,4,11.1111111111111,4,"Haru, Kagoshima, Japan","JA","JA18",30.2333,130.583,-228540,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
212106660,20120801,201208,2012,2012.5781,"JUD","FEDERAL COURT",NA,NA,NA,NA,NA,"JUD",NA,NA,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,1,"015","015","01",1,0,6,1,6,2.41935483870968,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
212114800,20120801,201208,2012,2012.5781,"MIL","LIEUTENANT GENERAL",NA,NA,NA,NA,NA,"MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,3,1,3,5.11874217451097,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
