"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
81825473,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM","ARMENIA","ARM",NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,1,1,1,10.9181141439206,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
81825474,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,7,1,7,7.32758620689655,NA,NA,NA,NA,0,0,0,1,"Armenia","AM","AM",40,45,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
81826578,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,1,"100","100","10",3,-5,9,1,9,2.59481037924152,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81827957,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","AUTHORITIES",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"030","030","03",1,4,4,1,4,2.22222222222222,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81828140,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","KING",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"043","043","04",1,2.8,4,1,4,7.02794242167655,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
81828721,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGOUNO","THE UN",NA,"UNO",NA,NA,NA,"IGO",NA,NA,1,"040","040","04",1,1,9,1,9,1.35135135135135,NA,NA,NA,NA,0,0,0,4,"Inguri, Samegrelo and Zemo Svaneti, Georgia","GG","GG71",42.4963,41.8122,109527,0,"Inguri, Samegrelo and Zemo Svaneti, Georgia","GG","GG71",42.4963,41.8122,NA,20130203,""
81828725,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGOUNO","THE UN",NA,"UNO",NA,NA,NA,"IGO",NA,NA,1,"046","046","04",1,7,9,1,9,1.35135135135135,NA,NA,NA,NA,0,0,0,4,"Inguri, Samegrelo and Zemo Svaneti, Georgia","GG","GG71",42.4963,41.8122,109527,0,"Inguri, Samegrelo and Zemo Svaneti, Georgia","GG","GG71",42.4963,41.8122,NA,20130203,""
81829122,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOR","JORDAN","JOR",NA,NA,NA,NA,NA,NA,NA,1,"020","020","02",1,3,2,1,2,3.24675324675325,NA,NA,NA,NA,0,0,0,3,"Walker County, Georgia, United States","US","USGA",34.7501,-85.3,354216,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81829262,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JUD","PUBLIC DEFENDER",NA,NA,NA,NA,NA,"JUD",NA,NA,0,"042","042","04",1,1.9,7,1,7,5.01519756838906,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81830817,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,0,"061","061","06",2,6.4,5,1,5,7.23684210526316,NA,NA,NA,NA,0,0,0,4,"Tskhinvali, Georgia (general), Georgia","GG","GG00",42.2276,43.9686,-2330394,4,"Tskhinvali, Georgia (general), Georgia","GG","GG00",42.2276,43.9686,-2330394,20130203,""
81831229,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"020","020","02",1,3,2,1,2,2.22222222222222,NA,NA,NA,NA,0,0,0,3,"Bartow County, Georgia, United States","US","USGA",34.2504,-84.8499,351604,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81831419,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","NEW HAMPSHIRE","USA",NA,NA,NA,NA,NA,NA,NA,0,"036","036","03",1,4,8,1,8,5.49597855227882,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81831530,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","NEW HAMPSHIRE","USA",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,4.20168067226891,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
81831565,20111201,201112,2011,2011.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","NEW HAMPSHIRE","USA",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,4.54545454545455,NA,NA,NA,NA,0,0,0,2,"Virginia, United States","US","USVA",37.768,-78.2057,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
