"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
86073934,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE","BAKU","AZE",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,2,1,2,0,NA,NA,NA,NA,0,0,0,4,"Baku, Baki*, Azerbaijan","AJ","AJ09",40.3953,49.8822,-2705195,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
86074552,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","BANK",NA,NA,NA,NA,NA,"BUS",NA,NA,0,"0841","084","08",2,7,3,2,3,6.43844221105527,NA,NA,NA,NA,0,0,0,3,"Savannah, Georgia, United States","US","USGA",32.0835,-81.0998,322590,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075034,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHRCTH","CATHOLIC",NA,NA,NA,"CHR","CTH",NA,NA,NA,1,"036","036","03",1,4,9,1,9,7.29166666666667,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075042,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHRCTH","CATHOLIC",NA,NA,NA,"CHR","CTH",NA,NA,NA,1,"046","046","04",1,7,9,1,9,7.29166666666667,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075118,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,1,"010","010","01",1,0,9,1,9,0.900900900900901,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075477,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,1,"173","173","17",4,-5,9,1,9,0.900900900900901,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075933,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","SMALL TOWN",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"043","043","04",1,2.8,2,1,2,5.08166969147005,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86075969,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","SETTLEMENT",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"050","050","05",1,3.5,31,4,31,7.80305432183072,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86076094,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","COMMUNITY",NA,NA,NA,NA,NA,"CVL",NA,NA,0,"190","190","19",4,-10,1,1,1,9.10852713178295,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86076442,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","UNIVERSITY",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"042","042","04",1,1.9,4,1,4,4.54545454545455,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
86076476,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","INTELLECTUAL",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"043","043","04",1,2.8,1,1,1,3.33333333333333,NA,NA,NA,NA,0,0,0,4,"Khvanchkara, Georgia (general), Georgia","GG","GG00",42.5592,43.0233,-2327917,4,"Khvanchkara, Georgia (general), Georgia","GG","GG00",42.5592,43.0233,-2327917,20130203,""
86076486,20120201,201202,2012,2012.0849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","INTELLECTUAL",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"043","043","04",1,2.8,1,1,1,3.33333333333333,NA,NA,NA,NA,0,0,0,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Khvanchkara, Georgia (general), Georgia","GG","GG00",42.5592,43.0233,-2327917,20130203,""
