"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
83625675,20120101,201201,2012,2012.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"014","014","01",1,0,15,5,15,9.26793765142874,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83626243,20120101,201201,2012,2012.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","RESIDENTS",NA,NA,NA,NA,NA,"CVL",NA,NA,0,"110","110","11",3,-2,9,1,9,5.87044534412955,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83626454,20120101,201201,2012,2012.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELI","FIRST LADY",NA,NA,NA,NA,NA,"ELI",NA,NA,1,"042","042","04",1,1.9,9,1,9,7.17131474103586,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83629735,20120101,201201,2012,2012.0027,"AFG","AFGHANISTAN","AFG",NA,NA,NA,NA,NA,NA,NA,"MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,1,"042","042","04",1,1.9,1,1,1,6.49350649350649,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
83631493,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"120","120","12",3,-4,9,1,9,11.2561174551387,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631653,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,2,1,2,9.61538461538462,3,"Columbus, Georgia, United States","US","USGA",32.461,-84.9877,331443,3,"Columbus, Georgia, United States","US","USGA",32.461,-84.9877,331443,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631654,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,2,1,2,9.61538461538462,3,"Columbus, Georgia, United States","US","USGA",32.461,-84.9877,331443,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631655,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,4,2,4,8.6965276534813,3,"Atlanta, Georgia, United States","US","USGA",33.749,-84.388,351615,3,"Atlanta, Georgia, United States","US","USGA",33.749,-84.388,351615,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631656,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,4,2,4,8.6965276534813,3,"Atlanta, Georgia, United States","US","USGA",33.749,-84.388,351615,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631657,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,25,5,25,9.0942141694508,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631658,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,4,2,4,9.2313154624534,1,"United States","US","US",38,-97,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631659,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,4,2,4,9.2313154624534,1,"United States","US","US",38,-97,0,1,"United States","US","US",38,-97,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631713,20120101,201201,2012,2012.0027,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"LEG","LAWMAKER",NA,NA,NA,NA,NA,"LEG",NA,NA,0,"014","014","01",1,0,4,1,4,8.16326530612245,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83631750,20120101,201201,2012,2012.0027,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,0,"090","090","09",2,-2,5,1,5,10.9500805152979,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83634158,20120101,201201,2012,2012.0027,"COP","TROOPER",NA,NA,NA,NA,NA,"COP",NA,NA,"HLH","HOSPITAL",NA,NA,NA,NA,NA,"HLH",NA,NA,0,"090","090","09",2,-2,4,2,4,4.43916697113628,3,"Grady Memorial Hospital, Georgia, United States","US","USGA",33.7516,-84.3822,314758,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83636852,20120101,201201,2012,2012.0027,"EDU","STUDENT",NA,NA,NA,NA,NA,"EDU",NA,NA,"GOV","GOVERNOR",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"042","042","04",1,1.9,9,1,9,7.17131474103586,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83636857,20120101,201201,2012,2012.0027,"EDU","STUDENT",NA,NA,NA,NA,NA,"EDU",NA,NA,"GOV","GOVERNOR",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"051","051","05",1,3.4,9,1,9,7.17131474103586,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83637585,20120101,201201,2012,2012.0027,"ELI","FIRST LADY",NA,NA,NA,NA,NA,"ELI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,9,1,9,7.17131474103586,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83637883,20120101,201201,2012,2012.0027,"EUR","EUROPE","EUR",NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"020","020","02",1,3,2,1,2,5.34022394487511,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83640472,20120101,201201,2012,2012.0027,"GOV","GOVERNOR",NA,NA,NA,NA,NA,"GOV",NA,NA,"EDU","STUDENT",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"043","043","04",1,2.8,9,1,9,7.17131474103586,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83647671,20120101,201201,2012,2012.0027,"LEG","LAWMAKER",NA,NA,NA,NA,NA,"LEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,13,2,13,5.84662039051023,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83648832,20120101,201201,2012,2012.0027,"MED","WEBSITE",NA,NA,NA,NA,NA,"MED",NA,NA,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,0,"090","090","09",2,-2,4,1,4,10.9500805152979,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83649929,20120101,201201,2012,2012.0027,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"090","090","09",2,-2,9,1,9,5.91549295774648,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83649933,20120101,201201,2012,2012.0027,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"111","111","11",3,-2,9,1,9,5.91549295774648,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
83651163,20120101,201201,2012,2012.0027,"NMR","NORTH AMERICA","NMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,9,1,9,4.02930402930403,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
