"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
219147702,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","TOURIST",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"040","040","04",1,1,3,1,3,5.60747663551402,NA,NA,NA,NA,0,0,0,4,"Didube, Georgia (general), Georgia","GG","GG00",41.7478,44.7836,-2326853,4,"Didube, Georgia (general), Georgia","GG","GG00",41.7478,44.7836,-2326853,20130203,""
219147836,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","VOTER",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"051","051","05",1,3.4,26,4,26,7.12890259282753,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219148834,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGOV","MIKHEIL SAAKASHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,7,1,7,9.11680911680912,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219148835,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGOV","MIKHEIL SAAKASHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,1,"100","100","10",3,-5,1,1,1,9.11680911680912,NA,NA,NA,NA,0,0,0,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219149306,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,0,"060","060","06",2,6,4,1,4,5.15267175572519,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219149429,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"112","112","11",3,-2,6,2,6,5.36413618910334,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219149573,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOVPTY","RULING PARTY",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"060","060","06",2,6,4,2,4,8.22623353138724,NA,NA,NA,NA,0,0,0,4,"Rustavi, Georgia (general), Georgia","GG","GG00",41.6231,43.1311,-2329505,4,"Rustavi, Georgia (general), Georgia","GG","GG00",41.6231,43.1311,-2329505,20130203,""
219151152,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MED","WEBSITE",NA,NA,NA,NA,NA,"MED",NA,NA,1,"111","111","11",3,-2,3,1,3,8.80829015544041,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
219151777,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OPP","OPPOSITION SUPPORTER",NA,NA,NA,NA,NA,"OPP",NA,NA,0,"043","043","04",1,2.8,74,8,74,6.89445319462651,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219151799,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OPP","OPPOSITION COALITION",NA,NA,NA,NA,NA,"OPP",NA,NA,1,"060","060","06",2,6,11,4,11,5.80563041539769,NA,NA,NA,NA,0,0,0,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
219151807,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OPP","OPPOSITION COALITION",NA,NA,NA,NA,NA,"OPP",NA,NA,1,"100","100","10",3,-5,3,1,3,6.75381263616558,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219152220,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,0,"043","043","04",1,2.8,1,1,1,6.45645645645646,NA,NA,NA,NA,0,0,0,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219152269,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,5,1,5,4.51785272717996,NA,NA,NA,NA,0,0,0,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219152735,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UKR","KYIV","UKR",NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,4,1,4,6.88405797101449,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219152780,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,4,1,4,5.41666666666667,NA,NA,NA,NA,0,0,0,4,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,0,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,NA,20130203,""
219154027,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"046","046","04",1,7,4,1,4,5.41666666666667,NA,NA,NA,NA,0,0,0,4,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,0,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,NA,20130203,""
219154256,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"051","051","05",1,3.4,16,4,16,7.22446552219662,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219154350,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"060","060","06",2,6,4,1,4,5.41666666666667,NA,NA,NA,NA,0,0,0,4,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,0,"Caucasus Mountains, Georgia (general), Georgia","GG","GG00",42.5,45,NA,20130203,""
219155350,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USAGOV","UNITED STATES","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"112","112","11",3,-2,4,1,4,7.06713780918728,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
219155372,20121001,201210,2012,2012.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USAGOVPTY","UNITED STATES","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"060","060","06",2,6,16,2,16,8.22623353138723,NA,NA,NA,NA,0,0,0,4,"Rustavi, Georgia (general), Georgia","GG","GG00",41.6231,43.1311,-2329505,4,"Rustavi, Georgia (general), Georgia","GG","GG00",41.6231,43.1311,-2329505,20130203,""
219160420,20121001,201210,2012,2012.7425,"BUS","INVESTOR",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"020","020","02",1,3,5,1,5,10.5769230769231,4,"Mukhiani, Georgia (general), Georgia","GG","GG00",42.204,42.6011,117551,0,NA,NA,NA,0,0,0,4,"Mukhiani, Georgia (general), Georgia","GG","GG00",42.204,42.6011,117551,20130203,""
219161367,20121001,201210,2012,2012.7425,"BUS","INVESTOR",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"120","120","12",3,-4,5,1,5,10.5769230769231,4,"Mukhiani, Georgia (general), Georgia","GG","GG00",42.204,42.6011,117551,0,NA,NA,NA,0,0,0,4,"Mukhiani, Georgia (general), Georgia","GG","GG00",42.204,42.6011,117551,20130203,""
219161571,20121001,201210,2012,2012.7425,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,"ARM","ARMENIA","ARM",NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,2,1,2,1.53846153846154,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
219167834,20121001,201210,2012,2012.7425,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"175","175","17",4,-9,1,1,1,7.78210116731517,4,"Khashuri, Georgia (general), Georgia","GG","GG00",41.9941,43.5999,-2327786,0,NA,NA,NA,0,0,0,4,"Khashuri, Georgia (general), Georgia","GG","GG00",41.9941,43.5999,-2327786,20130203,""
219167835,20121001,201210,2012,2012.7425,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"175","175","17",4,-9,15,6,15,7.30595353555641,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
