"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
74552492,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"051","051","05",1,3.4,9,1,9,7.43494423791822,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74552520,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","SERVER",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"060","060","06",2,6,45,5,45,10.1926144091362,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553050,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,0,"040","040","04",1,1,7,1,7,1.80275715800636,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553504,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","COMMUNITY",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"036","036","03",1,4,9,1,9,15.1670951156812,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553575,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","COMMUNITY",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"042","042","04",1,1.9,12,2,12,8.23336588087599,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553612,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","COMMUNITY",NA,NA,NA,NA,NA,"CVL",NA,NA,1,"043","043","04",1,2.8,9,1,9,4.70139771283355,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553887,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","SCHOOL",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"014","014","01",1,0,5,1,5,5.78358208955224,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74553988,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","STUDENT",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"040","040","04",1,1,19,2,14,7.68750076229301,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74554186,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","STUDENT",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"046","046","04",1,7,9,1,9,7.17703349282297,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
74554352,20110901,201109,2011,2011.6603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELI","FIRST LADY",NA,NA,NA,NA,NA,"ELI",NA,NA,1,"036","036","03",1,4,9,1,9,6.49350649350649,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
