"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"4014" 227113689 20130101 201301 2013 2013.0027 NA NA NA NA NA NA NA NA NA NA "UKR" "KYIV" "UKR" NA NA NA NA NA NA NA 1 "042" "042" "04" 1 1.9 10 1 10 3.55329949238579 NA NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"4385" 227114060 20130101 201301 2013 2013.0027 NA NA NA NA NA NA NA NA NA NA "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 1 "040" "040" "04" 1 1 6 1 6 1.73913043478261 NA NA NA NA 0 0 0 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"4906" 227114581 20130101 201301 2013 2013.0027 NA NA NA NA NA NA NA NA NA NA "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 1 "046" "046" "04" 1 7 6 1 6 1.73913043478261 NA NA NA NA 0 0 0 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"7480" 227117155 20130101 201301 2013 2013.0027 "AZE" "AZERBAIJAN" "AZE" NA NA NA NA NA NA NA "CVL" "VILLAGE" NA NA NA NA NA "CVL" NA NA 1 "190" "190" "19" 4 -10 2 1 2 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"7491" 227117166 20130101 201301 2013 2013.0027 "AZEGOV" "AZERBAIJAN" "AZE" NA NA NA NA "GOV" NA NA "CVL" "VILLAGE" NA NA NA NA NA "CVL" NA NA 1 "190" "190" "19" 4 -10 1 1 1 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"11655" 227121330 20130101 201301 2013 2013.0027 "COP" "PRISON" NA NA NA NA NA "COP" NA NA NA NA NA NA NA NA NA NA NA NA 0 "173" "173" "17" 4 -5 10 1 10 2.26997578692494 0 "Layla, Georgia (general), Georgia" "GG" "GG00" 42.994 42.4185 -2328499 0 NA NA NA 0 0 0 4 "Layla, Georgia (general), Georgia" "GG" "GG00" 42.994 42.4185 -2328499 20130203 ""
"13271" 227122946 20130101 201301 2013 2013.0027 "CRM" "CRIMINAL" NA NA NA NA NA "CRM" NA NA NA NA NA NA NA NA NA NA NA NA 0 "080" "080" "08" 2 5 5 1 5 3.36967294350842 1 "Georgia" "GG" "GG" 42 43.5 0 0 NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"13277" 227122952 20130101 201301 2013 2013.0027 "CRM" "CRIMINAL" NA NA NA NA NA "CRM" NA NA NA NA NA NA NA NA NA NA NA NA 1 "090" "090" "09" 2 -2 10 1 10 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 0 NA NA NA 0 0 0 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"14271" 227123946 20130101 201301 2013 2013.0027 "CVL" "VILLAGE" NA NA NA NA NA "CVL" NA NA NA NA NA NA NA NA NA NA NA NA 1 "190" "190" "19" 4 -10 10 1 10 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 0 NA NA NA 0 0 0 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"19082" 227128757 20130101 201301 2013 2013.0027 "GOV" "GOVERNMENT" NA NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 0 "031" "031" "03" 1 5.2 4 1 4 3.36967294350842 2 "Georgia, United States" "US" "USGA" 0 0 0 0 NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
