"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
206605240,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,3,1,3,7.20338983050847,NA,NA,NA,NA,0,0,0,4,"Magaliesburg, Gauteng, South Africa","SF","SF06",-25.9936,27.5562,-1255615,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206605246,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFR","AFRICA","AFR",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,2,1,2,7.20338983050847,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206605732,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"057","057","05",1,8,10,1,1,7.58293838862559,NA,NA,NA,NA,0,0,0,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
206606943,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRA","PARIS","FRA",NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,10,1,10,6.97954271961492,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206607235,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","DEPUTY PRIME MINISTER",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,4,1,4,7.25806451612903,NA,NA,NA,NA,0,0,0,1,"Turkey","TU","TU",39,35,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
206607712,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGOEURSCE","OSCE","EUR","SCE",NA,NA,NA,"IGO",NA,NA,1,"043","043","04",1,2.8,14,1,14,6.19444444444444,NA,NA,NA,NA,0,0,0,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
206609127,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,1,"051","051","05",1,3.4,2,1,1,7.2463768115942,NA,NA,NA,NA,0,0,0,4,"Ossetia, Russia (general), Russia","RS","RS00",42.75,44,-2975503,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
206609553,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"010","010","01",1,0,4,1,4,6.79245283018868,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206609702,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"031","031","03",1,5.2,2,1,2,5.73770491803279,NA,NA,NA,NA,0,0,0,3,"Fort Belvoir, Virginia, United States","US","USVA",38.6927,-77.1619,2512184,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206609713,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","VIRGINIA","USA",NA,NA,NA,NA,NA,NA,NA,0,"031","031","03",1,5.2,1,1,1,5.73770491803279,NA,NA,NA,NA,0,0,0,2,"Virginia, United States","US","USVA",37.768,-78.2057,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206609769,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","HOUSTON","USA",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,9,1,9,5.46875,NA,NA,NA,NA,0,0,0,3,"Houston County, Georgia, United States","US","USGA",32.4335,-83.6499,1671693,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206609826,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","ATLANTA","USA",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,5,1,5,5.44959128065395,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206610410,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"046","046","04",1,7,4,1,4,6.79245283018868,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206610582,20120601,201206,2012,2012.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","MIAMI","USA",NA,NA,NA,NA,NA,NA,NA,1,"060","060","06",2,6,4,1,4,6.79245283018868,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
