"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"1389" 254456462 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " AZE" "BAKU" "AZE" NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 4 2 4 1.23727467004982 0 NA NA NA NA NA NA 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130501 "http://armenpress.am/eng/news/717311/"
"1395" 254456468 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " AZE" "BAKU" "AZE" NA NA NA NA NA NA NA 1 "046" "046" "04" 1 7 4 2 4 1.23727467004982 0 NA NA NA NA NA NA 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130501 "http://armenpress.am/eng/news/717311/"
"2317" 254457390 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " GOV" "GOVERNMENT" NA NA NA NA NA "GOV" NA NA 0 "042" "042" "04" 1 1.9 3 1 3 5.05836575875486 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"2427" 254457500 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA 1 "112" "112" "11" 3 -2 1 1 1 4.41501103752759 0 NA NA NA NA NA NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.rian.ru/world/20130502/180944966/US-Backs-Georgias-NATO-EU-Ambitions--Kerry.html"
"2448" 254457521 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " GOV" "GOVERNMENT" NA NA NA NA NA "GOV" NA NA 0 "141" "141" "14" 3 -6.5 3 1 3 5.05836575875486 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"4585" 254459658 20130501 201305 2013 2013.3315 NA NA NA NA NA NA NA NA NA NA " USAGOV" "UNITED STATES" "USA" NA NA NA NA "GOV" NA NA 0 "051" "051" "05" 1 3.4 1 1 1 5.05836575875486 0 NA NA NA NA NA NA 2 "Georgia, United States" "US" "USGA" 0 0 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"6037" 254461110 20130501 201305 2013 2013.3315 "AZE" "BAKU" "AZE" NA NA NA NA NA NA NA " " NA NA NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 4 2 4 1.23727467004982 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 0 NA NA NA NA NA NA 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130501 "http://armenpress.am/eng/news/717311/"
"6044" 254461117 20130501 201305 2013 2013.3315 "AZE" "BAKU" "AZE" NA NA NA NA NA NA NA " " NA NA NA NA NA NA NA NA NA 1 "046" "046" "04" 1 7 3 2 3 1.1607020050542 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 0 NA NA NA NA NA NA 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130501 "http://armenpress.am/eng/news/717311/"
"6121" 254461194 20130501 201305 2013 2013.3315 "AZE" "BAKU" "AZE" NA NA NA NA NA NA NA " USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 0 "036" "036" "03" 1 4 2 1 2 5.70776255707763 1 "Georgia" "GG" "GG" 42 43.5 NA 4 "Baku, Baki*, Azerbaijan" "AJ" "AJ09" 40.3953 49.8822 -2705195 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://en.trend.az/regions/scaucasus/azerbaijan/2145551.html"
"6773" 254461846 20130501 201305 2013 2013.3315 "BUS" "COMPANY" NA NA NA NA NA "BUS" NA NA " " NA NA NA NA NA NA NA NA NA 1 "031" "031" "03" 1 5.2 10 1 10 1.47058823529412 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA NA NA NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://www.businessweek.com/news/2013-05-01/anadolu-group-to-boost-investment-in-georgia-minister-says"
"12987" 254468060 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA 1 "036" "036" "03" 1 4 1 1 1 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Pennsylvania, United States" "US" "USPA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"12988" 254468061 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " GOV" "GOVERNMENT" NA NA NA NA NA "GOV" NA NA 1 "1384" "138" "13" 3 -7 4 1 4 3.26086956521739 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145445.html"
"12989" 254468062 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " IGOEURSCE" "OSCE" "EUR" "SCE" NA NA NA "IGO" NA NA 1 "036" "036" "03" 1 4 4 1 4 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Pennsylvania, United States" "US" "USPA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"12993" 254468066 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 1 1 1 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Georgia, United States" "US" "USGA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"12995" 254468068 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " USA" "WASHINGTON" "USA" NA NA NA NA NA NA NA 1 "040" "040" "04" 1 1 4 1 4 5.41871921182266 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/news/politics/2145892.html"
"12996" 254468069 20130501 201305 2013 2013.3315 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA " USA" "WASHINGTON" "USA" NA NA NA NA NA NA NA 1 "040" "040" "04" 1 1 6 1 6 5.41871921182266 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Georgia, United States" "US" "USGA" 42.1497 -74.9384 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/news/politics/2145892.html"
