"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
77282015,20111001,201110,2011,2011.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","PRODUCER",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"040","040","04",1,1,4,1,4,6.48148148148148,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77282057,20111001,201110,2011,2011.7425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESP","TOLEDO","ESP",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,8,1,1,3.65853658536585,NA,NA,NA,NA,0,0,0,4,"Telavi, Georgia (general), Georgia","GG","GG00",41.9198,45.4732,-2330100,4,"Telavi, Georgia (general), Georgia","GG","GG00",41.9198,45.4732,-2330100,20130203,""
77283068,20111001,201110,2011,2011.7425,"ESP","TOLEDO","ESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,8,1,1,3.65853658536585,4,"Telavi, Georgia (general), Georgia","GG","GG00",41.9198,45.4732,-2330100,0,NA,NA,NA,0,0,0,4,"Telavi, Georgia (general), Georgia","GG","GG00",41.9198,45.4732,-2330100,20130203,""
77286792,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CANCVL","VANCOUVER","CAN",NA,NA,NA,NA,"CVL",NA,NA,1,"036","036","03",1,4,2,1,2,7.67494356659142,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77287321,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVL","COMMUNITY",NA,NA,NA,NA,NA,"CVL",NA,NA,0,"120","120","12",3,-4,9,1,9,3.82513661202186,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77288019,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","MAYOR",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"042","042","04",1,1.9,9,1,9,6.33356790992259,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
77288699,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISR","ISRAEL","ISR",NA,NA,NA,NA,NA,NA,NA,0,"051","051","05",1,3.4,2,1,2,6.13095238095238,NA,NA,NA,NA,0,0,0,4,"Shamir, Ha?afon, Israel","IS","IS03",33.1659,35.6604,-781380,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77288703,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISR","ISRAEL","ISR",NA,NA,NA,NA,NA,NA,NA,0,"051","051","05",1,3.4,2,1,2,6.13095238095238,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77288714,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISR","ISRAEL","ISR",NA,NA,NA,NA,NA,NA,NA,0,"120","120","12",3,-4,1,1,1,6.13095238095238,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77288756,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ITA","ITALY","ITA",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,2,1,2,3.81679389312977,NA,NA,NA,NA,0,0,0,4,"Kakheti, Georgia (general), Georgia","GG","GG00",41.75,45.75,-2327582,4,"Kakheti, Georgia (general), Georgia","GG","GG00",41.75,45.75,-2327582,20130203,""
77288872,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JUD","PROSECUTOR",NA,NA,NA,NA,NA,"JUD",NA,NA,0,"120","120","12",3,-4,4,1,4,5.24541815883716,NA,NA,NA,NA,0,0,0,4,"Paris, RhôAlpes, France","FR","FRB9",45.6333,5.73333,-1445327,4,"Georgia, Georgia (general), Georgia","GG","GG00",42,43.4999,-2327232,20130203,""
77290397,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","THE US","USA",NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,2,1,2,6.13095238095238,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77290417,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","THE US","USA",NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,2,1,2,6.13095238095238,NA,NA,NA,NA,0,0,0,2,"Virginia, United States","US","USVA",37.768,-78.2057,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77290526,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","PORTLAND","USA",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,4,1,4,5.45454545454545,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77290616,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","ATLANTA","USA",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,9,1,9,5.2890528905289,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77290692,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","SOUTH CAROLINA","USA",NA,NA,NA,NA,NA,NA,NA,0,"051","051","05",1,3.4,2,1,2,4.71204188481675,NA,NA,NA,NA,0,0,0,3,"Charleston, South Carolina, United States","US","USSC",32.7766,-79.9309,1221516,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77290724,20111002,201110,2011,2011.7452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"051","051","05",1,3.4,4,2,4,4.81978905835041,NA,NA,NA,NA,0,0,0,2,"South Carolina, United States","US","USSC",33.8191,-80.9066,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77295914,20111002,201110,2011,2011.7452,"BUS","COMPANY",NA,NA,NA,NA,NA,"BUS",NA,NA,"USA","MILWAUKEE","USA",NA,NA,NA,NA,NA,NA,NA,1,"023","023","02",1,3.4,9,1,9,6.16016427104723,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77296334,20111002,201110,2011,2011.7452,"CAN","CANADA","CAN",NA,NA,NA,NA,NA,NA,NA,"CANCVL","VANCOUVER","CAN",NA,NA,NA,NA,"CVL",NA,NA,1,"036","036","03",1,4,2,1,2,7.67494356659142,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77296752,20111002,201110,2011,2011.7452,"CHE","GENEVA","CHE",NA,NA,NA,NA,NA,NA,NA,"IGOBUSWTO","WORLD TRADE ORGANIZATION",NA,"WTO",NA,NA,NA,"IGO","BUS",NA,1,"129","129","12",3,-5,2,1,2,5.81527936145952,1,"Russia","RS","RS",60,100,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
77297662,20111002,201110,2011,2011.7452,"CHRCTH","CATHOLIC",NA,NA,NA,"CHR","CTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"0341","034","03",1,7,2,1,2,7.39393939393939,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
